"FWB_id","site_year_code","sp_site","collection_site_id","fish_family","fish_scientific_name","fish_name_level","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","sp_site_body_size_range","VarTot"
"FWB_0001","FWB_0001_2012","Ambassis macleayi_4-Mile Hole","4-Mile Hole","Ambassidae","Ambassis macleayi","species","lotic",132.21865,-12.57082,0.656436835158009,0.0491665127722967,0.109576833324146,0.00288483688891869,28.8888888888889,48.8611111111111,9,21,0.0520513496612154
"FWB_0001","FWB_0001_2012","Amniataba percoides_4-Mile Hole","4-Mile Hole","Terapontidae","Amniataba percoides","species","lotic",132.21865,-12.57082,0.767586769159096,0.000326281159438691,0.704095694834904,0.000655265721785192,118,309,3,33,0.000981546881223883
"FWB_0001","FWB_0001_2012","Craterocephalus stercusmuscarum_4-Mile Hole","4-Mile Hole","Atherinidae","Craterocephalus stercusmuscarum","species","lotic",132.21865,-12.57082,0.725890985324948,0.0203689053556543,0.428835235102806,0.115722033603939,26.3333333333333,50.6666666666667,6,20,0.136090938959594
"FWB_0001","FWB_0001_2012","Denariusa australis_4-Mile Hole","4-Mile Hole","Ambassidae","Denariusa australis","species","lotic",132.21865,-12.57082,0.244758909853249,0.0449357554421634,0.901686786836448,0.00538042513512955,26,3,3,3,0.050316180577293
"FWB_0001","FWB_0001_2012","Glossamia aprion_4-Mile Hole","4-Mile Hole","Apogonidae","Glossamia aprion","species","lotic",132.21865,-12.57082,0.605607966457023,0.0117780773732872,0.679923929221101,0.0129236941133274,64,140.666666666667,4,25,0.0247017714866146
"FWB_0001","FWB_0001_2012","Lates calcarifer_4-Mile Hole","4-Mile Hole","Latidae","Lates calcarifer","species","lotic",132.21865,-12.57082,0.799945647954034,0.0407421694692127,0.882310787718428,0.0085088838440977,433.111111111111,24289.1111111111,9,515,0.0492510533133104
"FWB_0001","FWB_0001_2012","Megalops cyprinoides_4-Mile Hole","4-Mile Hole","Megalopidae","Megalops cyprinoides","species","lotic",132.21865,-12.57082,0.48893547635686,0.0223402637482271,0.775232897855686,0.0075399143327473,283.333333333333,1433.33333333333,3,70,0.0298801780809744
"FWB_0001","FWB_0001_2012","Melanotaenia nigrans_4-Mile Hole","4-Mile Hole","Melanotaeniidae","Melanotaenia nigrans","species","lotic",132.21865,-12.57082,0.608141160027952,7.9110794667931e-05,0.525095088473623,0.00524774457751418,37,8,2,4,0.00532685537218211
"FWB_0001","FWB_0001_2012","Melanotaenia_4-Mile Hole","4-Mile Hole","Melanotaeniidae","Melanotaenia sp.","genus","lotic",132.21865,-12.57082,0.472309573724668,0.0124748095951767,0.667572763353729,0.0483851516290433,32.875,140.410714285714,8,33,0.06085996122422
"FWB_0001","FWB_0001_2012","Nematalosa erebi_4-Mile Hole","4-Mile Hole","Dorosomatidae","Nematalosa erebi","species","lotic",132.21865,-12.57082,0.477812718378756,0.283481873617087,0.129857780717711,0.00145766067792261,121.5,8064.5,2,127,0.28493953429501
"FWB_0001","FWB_0001_2012","Neosilurus ater_4-Mile Hole","4-Mile Hole","Plotosidae","Neosilurus ater","species","lotic",132.21865,-12.57082,0.471558350803634,0.0139212626620001,0.649264097899785,0.00676753365381684,294.2,943.2,5,70,0.020688796315817
"FWB_0001","FWB_0001_2012","Oxyeleotris lineolata_4-Mile Hole","4-Mile Hole","Butidae","Oxyeleotris lineolata","species","lotic",132.21865,-12.57082,0.664220824598183,0.00796799121902737,0.892074582437572,0.0238123052123524,276.5,2105.66666666667,4,95,0.0317802964313798
"FWB_0001","FWB_0001_2012","Planiliza alata_4-Mile Hole","4-Mile Hole","Mugilidae","Planiliza alata","species","lotic",132.21865,-12.57082,0.357337526205451,0.00309888153451501,0.536183231354391,0.005458569686565,318.2,1768.7,5,85,0.00855745122108001
"FWB_0001","FWB_0001_2012","Toxotes chatareus_4-Mile Hole","4-Mile Hole","Toxotidae","Toxotes chatareus","species","lotic",132.21865,-12.57082,0.473969252271139,NA,0.954688275177774,NA,215,NA,1,0,NA
"FWB_0003","FWB_0003_2018","Ambassis_Baitpool","Baitpool","Ambassidae","Ambassis sp.","genus","lentic",123.684752,-17.783672,0.554370765300455,0.153789271546087,0.542310231023102,0.0211274973041859,23,103,3,20,0.174916768850273
