"FWB_id","site_year_code","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"FWB_0001","FWB_0001_2012","4-Mile Hole","lotic",-12.57082,132.21865,0.0252204663872613,0.0392832226725196,0.0710519372512722,0.0188264630059353,14,4.57142857142857,1,17,"lotic",-12.57082,132.21865,1.09594206011223,5.32847045323357,1.43142802294892,9.286746144,4.62247329195034,277,6,1411,-6.90775527898214,0,0,1.09594540235263,0,-3.81625838344377,"small",-0.269610776233512,0.132563006415118,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.609007379967254,0.209465933439615,0.37640173115639
"FWB_0002","FWB_0002_2009","Alice Crossing Waterhole","lotic",-15.38,142.0258,0.0252991167531372,0.0255380696642527,0.0440351147004221,0.0474998750307366,17,2.58823529411765,1,17,"lotic",-15.38,142.0258,4.47665476375266,5.3816225613784,0.660252523175337,5.598350992,30.1544061010599,268,0,1188,-6.90775527898214,0,0,8.27928518243825,0,-5.80581520022135,"large",2.0392117231417,0.202946916449426,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.502350178363075,0.518925879275732,0.513007152596887
"FWB_0003","FWB_0003_2018","Baitpool","lentic",-17.783672,123.684752,0.0104775494571774,0.0534221777975227,0.0533858367698156,0.0150881246065201,5,4.6,3,17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.836031390002424,0.220348352910315,0.51755226520129
"FWB_0004","FWB_0004_2000","Balmoral","lotic",-21.252572,116.123389,0.0346424096154631,0.0208584881816204,0.0348677637863201,0.0209315204072014,9,4.33333333333333,1,17,"lotic",-21.252572,116.123389,2.45710713243022,5.57065872940185,4.21660742165222,91.82280918,559.945350710829,264,54,302,-5.52146091786225,0,0,8.25891172358015,0,-2.12018020633879,"large",0.659982720707927,0.453268213342108,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.375822536382762,0.375121665263793,0.375471161335112
"FWB_0005","FWB_0005_2012","Barramundi Gorge","lotic",-13.31026,132.4359,0.0363214019251622,0.0194421283981187,0.047014299467864,0.0272765186558308,13,3.84615384615385,1,17,"lotic",-13.31026,132.4359,1.79608344070811,5.27256492174997,3.5870796579524,106.3489373,29.6690279203626,272,3,1386,-6.21460809842219,0,0,2.94064283555373,0,-3.81625838344377,"large",0.208543481158043,0.0585330189752825,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.348653112265415,0.367158679157567,0.359224029121926
"FWB_0006","FWB_0006_2021","Big Sand","lotic",-18.202529,125.857705,0.0552828411519335,0.0354649449376993,0.045884447264055,0.0199969726495916,9,3.44444444444444,2,17,"lotic",-18.202529,125.857705,4.7769867581369,4.59596834484966,4.49145575198563,81.55365369,54.116245208663,275,88,519,-2.15416508787577,0,0,8.21851407519173,0,0.767331221248954,"large",2.24432032795449,-0.83741474791884,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.390807825357526,0.303529776313298,0.354096908249217
"FWB_0007","FWB_0007_2002","Bilanoo","lotic",-21.295131,116.144841,0.0690205039326842,0.0132053410712165,0.0483229206349206,0.0208675714285714,8,3,1,17,"lotic",-21.295131,116.144841,2.27500832522381,5.74026178796912,4.21660742165222,91.82280918,559.369780593705,265,74,304,-5.80914299031403,0,0,8.25566971598656,0,-2.12018020633879,"large",0.535620238579586,0.677856227484761,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.160598423410426,0.301595939069525,0.22502798020152
"FWB_0008","FWB_0008_2011","Booligar","lentic",-28.924847,148.079656,0.0259947008420729,0.0195758315789023,0.0174544500415979,0.0193312882684142,8,9.5,1,14,"lentic",-28.924847,148.079656,-0.198450938723838,-0.885294173755049,5.91230259841069,252.2923986,54.781521191193,203,60,468,-6.21460809842219,0,0,2.36603020407665,0,-3.41094473311704,"large",-0.167005374400117,0.391812001316423,"high_prod","Hot and dry","Hot and dry",0,"ok",0.429572149784494,0.525510405839883,0.47242449787952
"FWB_0009","FWB_0009_2014","brisbane_01","lotic",-26.758734,152.237887,0.0205370042839241,0.0583783848197087,0.024197014382671,0.0317499090809903,10,2.6,1,14,"lotic",-26.758734,152.237887,1.49559709601034,5.31225120868729,6.19099079760183,8553.080142,71.082459517117,191,56,897,-5.11599580975408,0,0,4.60835520841486,0,-1.35864028433807,"large",0.00332946440762355,0.111085516832588,"high_prod","Hot and dry","Hot and dry",0,"ok",0.739759196308915,0.567500536497106,0.668298594210495
"FWB_0010","FWB_0010_2014","brisbane_02","lotic",-26.787199,152.270016,0.0697062412658372,0.0453122101094763,0.0496658191345457,0.0391227232706404,8,2.625,1,14,"lotic",-26.787199,152.270016,0.492865298388998,6.44696816981365,6.19099079760183,8553.080142,66.7808748488698,194,96,871,-6.90775527898214,0,0,4.85948684749782,0,-1.35864028433807,"small",-0.681475763997063,1.61367533488282,"high_prod","Hot and dry","Hot and dry",0,"ok",0.393956009385131,0.440628060905697,0.414288694484416
"FWB_0011","FWB_0011_2014","brisbane_03","lotic",-27.041002,152.403981,0.0518416216559848,0.0204375666711695,0.0319133661235955,0.0344694993350808,11,3.18181818181818,2,14,"lotic",-27.041002,152.403981,2.65471974539056,4.66830632895836,6.19099079760183,8553.080142,33.4549370327241,194,96,870,-3.19418321227783,0,0,5.63725801840981,0,0.388664769429818,"large",0.794940194755296,-0.74162494120605,"high_prod","Hot and dry","Hot and dry",0,"ok",0.282758663236004,0.519252959282668,0.395977590892002
"FWB_0012","FWB_0012_2015","brisbane_04","lotic",-27.430624,152.640734,0.056089271526832,0.0342330769435019,0.0238882292362084,0.0161663777566901,22,2.68181818181818,1,14,"lotic",-27.430624,152.640734,3.62271294185098,4.52344821589788,6.19099079760183,8553.080142,30.6592161306069,198,108,932,0.431132854856742,1,0,6.89825227816197,1587,3.59635317067173,"large",1.45602105762286,-0.933445750450487,"high_prod","Hot and dry","Hot and dry",0,"ok",0.379010040408168,0.403608447826148,0.386567200630829
"FWB_0013","FWB_0013_2014","brisbane_05","lotic",-27.443221,152.670211,0.0562040745036546,0.0124540848820674,0.0562238715496201,0.0192367127705551,14,2.14285714285714,1,14,"lotic",-27.443221,152.670211,1.20806442222919,6.93250101478923,6.19099079760183,8553.080142,34.2920770061683,197,34,998,-2.47693848013882,2,0,6.91619358611524,1595,3.59313945695136,"small",-0.193037977823292,2.25661690902224,"high_prod","Hot and dry","Hot and dry",0,"ok",0.181392641362554,0.25492398374408,0.219893657394723
