"collection_site_id"	"Ecosystem_Type"	"lentic_ecosystem_size_km2"	"lotic_ecosystem_width_m"	"site_interspe_var_N"	"site_intraspe_var_N"	"site_interspe_var_C"	"site_intraspe_var_C"	"site_nbspe"	"collection_decimal_longitude"	"collection_decimal_latitude"	"site_mean_sample_id"	"site_min_sample_id"	"propintraspecific_N"	"propintraspecific_C"
"002_Sarre"	"Lotic"	NA	NA	0.0856204514177484	0.0489175913587813	0.0182940882797146	0.0308479388463168	9	-3.129123967	48.00782191	4.22222222222222	1	0.363596722155638	0.627730288113738
"004_Couesnon"	"Lotic"	NA	NA	0.0599604321166842	0.0280774550776022	0.0337706388880135	0.0193940402500888	9	-1.503912889	48.37809831	6	5	0.318924680866539	0.364791823528365
"009_Vaudelle"	"Lotic"	NA	NA	0.0380667764803352	0.020414815281679	0.0357763073818688	0.02486713249178	8	-0.1998329304	48.27401433	6.5	2	0.349081046985782	0.410054781582162
"010_l’Huisne"	"Lotic"	NA	NA	0.0761879608514236	0.0507892955985326	0.0749058058598836	0.0257213434315381	11	0.6673933694	48.22016727	5.45454545454545	2	0.399987344336342	0.255610375655656
"011_Gartempe"	"Lotic"	NA	NA	0.182882898174085	0.0511987628227017	0.0724690418747009	0.0750599226233232	12	0.8593819959	46.7569367	6.75	1	0.218721802488425	0.50878092230037
"012_l’Anglin"	"Lotic"	NA	NA	0.292251701676857	0.0995656229401971	0.119823840153097	0.0609336645613053	9	0.9072096965	46.66648033	6.88888888888889	1	0.254112354622166	0.337101713467337
"014_Nahon"	"Lotic"	NA	NA	0.0869263361739215	0.0311185506562167	0.054654708306558	0.0340255591463918	8	1.4573622	47.00774885	7.125	2	0.263616252188839	0.383688052862993
"015_Vendinelle"	"Lotic"	NA	NA	0.236435450590957	0.0348555157842027	0.118708088951164	0.0494892320826499	6	1.804132628	43.5397629	7.16666666666667	5	0.128480193240206	0.294233176714513
"017_l’Indre"	"Lotic"	NA	NA	0.0416120054313473	0.0351991105698804	0.042783176714942	0.0251421158128941	8	1.825410679	46.74515676	6.75	4	0.458255424505456	0.370143651609461
"024_Mauldre, Beynes"	"Lotic"	NA	NA	0.147575278432126	0.180362709492474	0.0626925769623041	0.028699588255091	10	1.879623405	48.8434477	11.4	1	0.549990291255747	0.314026789789072
"027_Créquoise"	"Lotic"	NA	NA	0.0941363232012721	0.036923020730499	0.017058443938946	0.0676363111139281	4	1.917359269	50.43592787	10	5	0.281727495520815	0.798589134258709
"037_Orge, Dourdan"	"Lotic"	NA	NA	0.0367947244077158	0.0402092391781975	0.0537334123928241	0.0332006366008836	7	2.011372544	48.52735408	14.2857142857143	4	0.522171032577253	0.381906019392778
"041_Rémarde, Val-St-Germain"	"Lotic"	NA	NA	0.144876456850856	0.070612111507811	0.179526449458361	0.03242307345829	12	2.07402796082779	48.5685828239993	22.9166666666667	1	0.3276837933708	0.152975449116912
"042_Cher"	"Lotic"	NA	NA	0.1003955031543	0.0346935096919646	0.0308588897833605	0.0856256965484709	12	2.094272064	47.19759172	6.25	2	0.256819625526813	0.735081775579713
"043_Yvette, Saint-Rémy-lès-Chevreuse"	"Lotic"	NA	NA	0.0687940764070444	0.0810029226131308	0.0194309033235107	0.0490298388555915	10	2.08885728882257	48.7046670988957	23.6	2	0.540751304385083	0.716174515422621
"045_Prédecelle, St-Maurice-Montcouronne"	"Lotic"	NA	NA	0.549007831512406	0.0628293263006099	0.0151996735311322	0.0404498402005882	6	2.105927223	48.57652819	14.1666666666667	2	0.102689621737245	0.726867810482443
"047_Prédecelle, Vaugrigneuse"	"Lotic"	NA	NA	0.0623220803695486	0.0242610194441734	0.0148185720422619	0.0348118358985731	5	2.12169893	48.60992717	12.8	2	0.280205022647254	0.70142151440852
"049_Orge, Breux-Jouy"	"Lotic"	NA	NA	0.126208376160986	0.0169277042520029	0.0147348134629378	0.0646351767991103	6	2.160723823	48.55869587	8.66666666666667	2	0.118263013791922	0.814352837712474
"052_Orge, Breuillet"	"Lotic"	NA	NA	0.09789061048802	0.0233664470293236	0.0862484033775822	0.0575453032851268	13	2.18627822966581	48.5693033814671	17	1	0.192701748728988	0.400193475922479
"053_Yvette, Villebon-sur-Yvette"	"Lotic"	NA	NA	0.0628694340020235	0.0363865418295905	0.0316495763779912	0.0481493173998163	4	2.234648576	48.70085779	18.5	1	0.366592958506797	0.60338326912004
"055_Orge, Viry-Châtillon"	"Lotic"	NA	NA	0.153592327925862	0.024654745817243	0.00907994373706551	0.0270941878284413	5	2.358544841	48.67288939	19.6	6	0.138317815263414	0.748993456259679
"056_Cère"	"Lotic"	NA	NA	0.0632970103580649	0.0524696526933939	0.027249638364281	0.033103607326843	7	2.369715912	44.87723391	6.42857142857143	1	0.453236288499314	0.548497548851983
"058_petite Sauldre"	"Lotic"	NA	NA	0.0798190463866132	0.0593399390755406	0.0782531348685788	0.0318929875287195	10	2.469656492	47.30447874	7.4	1	0.426418307653435	0.289551614115666
"070_l’Allier"	"Lotic"	NA	NA	0.0706038810185371	0.0377990769575266	0.156796274112395	0.0968933681573617	21	3.318470302	46.40355429	7.38095238095238	1	0.348690457006468	0.381936634426453
"072_Hogneau"	"Lotic"	NA	NA	0.158657030258292	0.053851683121006	0.0635015896707016	0.0311995105381883	11	3.738651692	50.33407847	4.72727272727273	1	0.253409294445674	0.329452461157991
"075_Loire"	"Lotic"	NA	NA	0.0898625892603317	0.0513382429690417	0.182253085577078	0.117413906744733	5	3.919867996	44.89259753	9	5	0.363583147198774	0.391814613398071
"077_Galeizon"	"Lotic"	NA	NA	0.125224737555248	0.0495582048248938	0.0325712750916983	0.0568370654288235	7	4.022744706	44.15717804	7.28571428571429	2	0.28354142658331	0.635702050814574
"080_Furan"	"Lotic"	NA	NA	0.154931231011725	0.045248437213354	0.00941514509281007	0.0483532941420297	4	4.260494621	45.5219521	8.5	5	0.226039125824094	0.837019223342079
"090_l’Ain"	"Lotic"	NA	NA	0.073064780511702	0.0346211966718267	0.0551596127070746	0.0560665380696966	8	5.208211085	45.81620361	6.25	1	0.321501439438321	0.504076943040321
"091_Roanne"	"Lotic"	NA	NA	0.133278436759484	0.0619222121069541	0.179330609775805	0.031895017470714	5	5.271131161	44.6709661	4.6	1	0.317223392783511	0.150999752664906
"092_Meuse"	"Lotic"	NA	NA	0.0362480020373645	0.0480685725230572	0.135153356459285	0.083182784374267	10	5.540625989	48.87021028	6.6	3	0.570096363302936	0.380984953094326
