"sp_site"	"collection_site_id"	"Scientific.nameFishBase"	"Fish.family"	"Ecosystem_Type"	"lentic_ecosystem_size_km2"	"lotic_ecosystem_width_m"	"sp_site_mean_N"	"sp_site_var_N"	"sp_site_mean_C"	"sp_site_var_C"	"sp_site_mean_length"	"sp_site_var_length"	"collection_decimal_longitude"	"collection_decimal_latitude"	"sp_site_num"	"num"
"Abramis.brama_042_Cher"	"042_Cher"	"Abramis.brama"	"Leuciscidae"	"Lotic"	NA	NA	0.597458642722973	0.0444039431959992	-0.502771659943454	0.0472323900465135	119.571428571429	301.952380952381	2.094272064	47.19759172	7	1
"Abramis.brama_052_Orge, Breuillet"	"052_Orge, Breuillet"	"Abramis.brama"	"Leuciscidae"	"Lotic"	NA	NA	0.598349146641387	0.00784519456890673	-0.246718195017059	0.00462735589180591	459	338	2.186627749	48.56939864	2	1
"Abramis.brama_070_l’Allier"	"070_l’Allier"	"Abramis.brama"	"Leuciscidae"	"Lotic"	NA	NA	1.19011919062548	NA	0.779280841182042	NA	590	NA	3.318470302	46.40355429	1	1
"Abramis.brama_BID"	"BID"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.151836	NA	1.17798925693937	0.0450694224262733	-0.0652778530329547	0.0986241671640475	293.25	12274.0227272727	1.285494	43.525573	12	1
"Abramis.brama_BIR"	"BIR"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.203628	NA	-0.809768129375634	0.00203221511934223	1.05978859167796	0.0172702930486368	335	25.6	1.289764	43.530329	6	1
"Abramis.brama_Candes"	"Candes"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.11291	NA	0.00293928274419078	0.0269869850855721	-0.98534586325462	0.00977171627799039	450	2100	1.978936	44.950435	3	1
"Abramis.brama_Clairvaux"	"Clairvaux"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.64	NA	-0.0617819575611919	0.050055169578961	-1.98857770071003	0.16099769374675	379	13515.5555555556	5.74962	46.56429	10	1
"Abramis.brama_FDL"	"FDL"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.187706	NA	1.65325262861712	0.048425259989582	0.895786631377296	0.0313497150226296	281.363636363636	14448.0545454545	1.302606	43.43998	11	1
"Abramis.brama_Gensac"	"Gensac"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.42926	NA	1.81429747082454	0.0487938194018116	-0.327976851361139	0.178723188491724	455.2	1295.95555555556	0.957323	43.966092	10	1
"Abramis.brama_Gouyre"	"Gouyre"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.60238	NA	1.54164967719482	0.0139364122978145	0.363360670183619	0.0232283121627044	499.571428571429	1144.61904761905	1.60547	44.047403	7	1
"Abramis.brama_Hucks Farm Middle Lake"	"Hucks Farm Middle Lake"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.00325	NA	0.0488457963970808	0.00942016548024994	0.286020393555363	0.0266744058719941	264.857142857143	1693.80952380952	-2.345661	52.219124	7	1
"Abramis.brama_Hucks Farm Top  Lake"	"Hucks Farm Top  Lake"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.00306	NA	0.706821326147001	0.0262817938337063	-1.58237950629423	0.086908118845404	126.3	5912.01034482759	-2.34395	52.219607	30	1
"Abramis.brama_LAV"	"LAV"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.182103	NA	0.639794971390181	0.0810961769806922	0.769117798792443	0.348337356957558	253.125	36872.6964285714	1.265891	43.386392	8	1
"Abramis.brama_LIN"	"LIN"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.043951	NA	1.04663000869688	0.192860235262759	1.0788171606635	0.156031256171087	255.3	29910.6777777778	1.22705	43.343186	10	1
"Abramis.brama_Lac_de_Jouarres"	"Lac_de_Jouarres"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	1.35220254902235	0.0258424645576476	0.0773467070957574	0.453776072520465	259.333333333333	18090.6666666667	2.701901	43.271909	6	1
"Abramis.brama_Lac_de_Laragou"	"Lac_de_Laragou"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.45	NA	1.40277955265318	0.0488964795060273	-0.643146726817443	0.0680526927141447	174.666666666667	3755.33333333333	1.660645	43.693865	12	1
"Abramis.brama_Lac_de_Maury"	"Lac_de_Maury"	"Abramis.brama"	"Leuciscidae"	"Lentic"	1.66	NA	-0.205448494720117	0.0308148245095075	0.944494051524088	0.0205450918365018	326.2	2467.7	2.685979	44.66035	5	1
"Abramis.brama_Leixlip Reservoir"	"Leixlip Reservoir"	"Abramis.brama"	"Leuciscidae"	"Lentic"	4	NA	0.820728440742206	0.020728889867305	-1.01099637921626	0.0391915335720913	236.396551724138	3169.33121597096	-6.5	53.35	58	1
"Abramis.brama_Lough Corrib"	"Lough Corrib"	"Abramis.brama"	"Leuciscidae"	"Lentic"	182	NA	0.39507440563356	0.1507272518657	-0.752075614626932	0.044815928395457	319.311475409836	7732.88469945355	-9.24	53.47	61	1
"Abramis.brama_Lough Corrib_Bobs"	"Lough Corrib_Bobs"	"Abramis.brama"	"Leuciscidae"	"Lentic"	115	NA	0.979100654952854	0.180822755368743	-0.791768770647466	6.93813249293032e-05	318.5	30504.5	-9.39255	53.483827	2	1
"Abramis.brama_Lough Corrib_Far"	"Lough Corrib_Far"	"Abramis.brama"	"Leuciscidae"	"Lentic"	115	NA	0.446405521815356	0.0041954917043849	-0.912718874435009	0.00274762394420883	275	8	-9.456833	53.4985	2	1
"Abramis.brama_Lough Corrib_Maam"	"Lough Corrib_Maam"	"Abramis.brama"	"Leuciscidae"	"Lentic"	115	NA	0.312854040528053	0.0333722068357185	-0.825659489942594	0.0389294991010129	255.928571428571	1178.29100529101	-9.507167	53.4925	28	1
"Abramis.brama_Lough Corrib_Moons"	"Lough Corrib_Moons"	"Abramis.brama"	"Leuciscidae"	"Lentic"	115	NA	0.721942116150873	0.0907151357303508	-0.591318198180403	0.235031750233838	390.25	1392.91666666667	-9.346857	53.46176	4	1
"Abramis.brama_Lough Ramor"	"Lough Ramor"	"Abramis.brama"	"Leuciscidae"	"Lentic"	7.5	NA	0.905881161752877	0.0110728259750942	-0.854759226678475	0.00432873733488208	314.611111111111	9059.10158730159	-7.06	53.81	36	1
"Abramis.brama_NEW"	"NEW"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.0833	NA	1.28280476176146	0.0176209672533932	-1.05992218373671	0.0675404511062762	200.222222222222	1943.44444444444	1.3920236	43.4906696	9	1
"Abramis.brama_River Cam West"	"River Cam West"	"Abramis.brama"	"Leuciscidae"	"Lotic"	NA	TRUE	2.89866024856183	0.0825250474799943	-1.00194498307911	0.0902745735471522	89.1904761904762	312.661904761905	0.185005	52.247102	21	1
"Abramis.brama_River Inney_Shrule Bridge"	"River Inney_Shrule Bridge"	"Abramis.brama"	"Leuciscidae"	"Lotic"	NA	TRUE	1.31241609986253	0.00479662387998595	-1.15374381378232	0.0111083142773881	481.75	1396.75	-7.796507	53.554986	12	1
"Abramis.brama_Ross Lake"	"Ross Lake"	"Abramis.brama"	"Leuciscidae"	"Lentic"	1.5	NA	0.664462371067597	0.0215563477869461	-1.69040205602174	0.122842088475761	254.848101265823	7184.54073352808	-9.217473	53.372506	79	1
"Abramis.brama_Salagou"	"Salagou"	"Abramis.brama"	"Leuciscidae"	"Lentic"	7.26331	NA	-0.178980192525309	0.0754386011726712	0.26703193463142	0.026860881373567	297.8	713.2	3.36826	43.65896	5	1
"Abramis.brama_TR5"	"TR5"	"Abramis.brama"	"Leuciscidae"	"Lentic"	5.6	NA	0.995823636120882	0.169177302773247	-0.704090374037772	0.101251104616133	359.111111111111	753.861111111111	26.200358	40.780834	9	1
"Abramis.brama_Vigueirat_piscisud_pond"	"Vigueirat_piscisud_pond"	"Abramis.brama"	"Leuciscidae"	"Lentic"	0.32	NA	-0.669122956571187	0.0396692403550738	0.117810404517716	0.0722289296892054	NA	NA	4.749884	43.540458	3	1
"Abramis.brama_briere_canal_breca"	"briere_canal_breca"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	0.395540983412466	0.0308508688705835	-1.08333957525244	0.0875568601997346	104.1875	556.029166666667	-2.295578	47.360951	16	1
"Abramis.brama_briere_canal_brivet"	"briere_canal_brivet"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	1.71992412918076	0.132247788771562	-1.27874974934961	0.0645750693929095	134.12	5708.77666666667	-2.233724	47.351064	25	1
"Abramis.brama_briere_prairie"	"briere_prairie"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	0.501691201905524	0.0480609884739172	-0.424481657767651	0.0309792675887112	93.3846153846154	1440.88615384615	-2.26535	47.362775	26	1
"Abramis.brama_briere_roseliere"	"briere_roseliere"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	0.475789737311697	0.0927692673642013	-0.779200219139668	0.097425779751102	86.65	944.871052631579	-2.209878	47.359318	20	1
"Abramis.brama_hrhov"	"hrhov"	"Abramis.brama"	"Leuciscidae"	"Lentic"	NA	NA	-0.362605565899994	0.0600604778501866	-0.0654334497251833	0.160235247820372	115	2575	20.760459	48.594674	3	1
"Acanthopagrus.butcheri_Barramundi Gorge"	"Barramundi Gorge"	"Acanthopagrus.butcheri"	"Sparidae"	"Lotic"	NA	TRUE	-0.853347730285769	NA	1.02694378728387	NA	NA	NA	132.4359	-13.31026	1	1
"Acentronichthys.leptos_Guapiaçu"	"Guapiaçu"	"Acentronichthys.leptos"	"Heptapteridae"	"Lotic"	NA	TRUE	-0.731366018589013	0.0142668237273191	0.467686396046302	0.0505351339559641	59.5	12.5	-42.7595	-22.435583	2	1
"Acentronichthys.leptos_Ilha_Grande_RJ_Rio_Andorinha_downstream"	"Ilha_Grande_RJ_Rio_Andorinha_downstream"	"Acentronichthys.leptos"	"Heptapteridae"	"Lotic"	NA	TRUE	-0.713366447056007	NA	-0.503178644188926	NA	66	NA	-44.11928	-23.11175	1	1
"Acestrorhynchus.falcatus_Crique_Nouvelle_France"	"Crique_Nouvelle_France"	"Acestrorhynchus.falcatus"	"Acestrorhynchidae"	"Lotic"	NA	NA	0.181073799891827	0.00496904153469648	-0.857776706743354	0.000968839254540373	107.5	60.5	-53.16884	3.61284	2	1
"Acestrorhynchus.lacustris_cp-02"	"cp-02"	"Acestrorhynchus.lacustris"	"Acestrorhynchidae"	"Lotic"	NA	NA	0.449572023867251	0.35336902165791	0.772188311625368	0.0834132352930665	NA	NA	-43.99679	-18.685274	5	1
"Acestrorhynchus.lacustris_rv-06"	"rv-06"	"Acestrorhynchus.lacustris"	"Acestrorhynchidae"	"Lotic"	NA	NA	3.06663588037028	0.673202585555219	1.64173205028542	0.105500155826047	NA	NA	-44.186372	-18.425888	3	1
"Acestrorhynchus.lacustris_rv-07"	"rv-07"	"Acestrorhynchus.lacustris"	"Acestrorhynchidae"	"Lotic"	NA	NA	2.86708986119052	NA	1.43314075894772	NA	NA	NA	-44.549269	-17.865394	1	1
"Acestrorhynchus.pantaneiro_Belen"	"Belen"	"Acestrorhynchus.pantaneiro"	"Acestrorhynchidae"	"Lotic"	NA	NA	1.03592401694446	0.00281916280682122	0.509924760003132	0.000105144914674644	234	72	-57.794189	-30.769745	2	1
"Acestrorhynchus.pantaneiro_Frente a Isla del Zapallo"	"Frente a Isla del Zapallo"	"Acestrorhynchus.pantaneiro"	"Acestrorhynchidae"	"Lotic"	NA	NA	0.983913018106208	0.032308979583022	0.138228553565741	0.0335330776592593	205	625	-57.870844	-30.508209	3	1
"Acestrorhynchus.pantaneiro_Paysandú"	"Paysandú"	"Acestrorhynchus.pantaneiro"	"Acestrorhynchidae"	"Lotic"	NA	NA	0.95378147690457	NA	-0.378229047161815	NA	240	NA	-58.096143	-32.256664	1	1
"Achirus.lineatus_TABASCOEL VIENTO lagoon"	"TABASCOEL VIENTO lagoon"	"Achirus.lineatus"	"Achiridae"	"Lentic"	17.12	NA	0.127361191902743	0.025449385074174	-1.14489672344152	0.000709251279729653	53.6666666666667	92.3333333333333	-92.643252	18.237498	3	1
"Achirus.lineatus_TABASCOGUANAL lagoon"	"TABASCOGUANAL lagoon"	"Achirus.lineatus"	"Achiridae"	"Lentic"	0.88	NA	-0.406475902805116	NA	-1.11548045761572	NA	90	NA	-92.447487	18.291281	1	1
"Acrossocheilus.beijiangensis_a6"	"a6"	"Acrossocheilus.beijiangensis"	"Cyprinidae"	"Lotic"	NA	NA	-1.14082811014879	0.0138960136447144	1.83103232958024	0.121217180656861	69.6	1228.3	112.290174	22.492625	5	1
"Aequidens.tetramerus_puca"	"puca"	"Aequidens.tetramerus"	"Cichlidae"	"Lentic"	0.89	NA	-0.488996316722474	NA	-1.96607906501692	NA	NA	NA	-67.56113333	-5.592255556	1	1
"Ageneiosus.inermis_Las Cañas"	"Las Cañas"	"Ageneiosus.inermis"	"Auchenipteridae"	"Lotic"	NA	NA	0.481321611167837	0.0641065059712678	-0.104295917851301	0.0727411570135104	357.5	28337.5	-58.359482	-33.194559	6	1
"Ageneiosus.inermis_Paysandú"	"Paysandú"	"Ageneiosus.inermis"	"Auchenipteridae"	"Lotic"	NA	NA	0.808055311966092	NA	0.104023730991275	NA	350	NA	-58.096143	-32.256664	1	1
"Ageneiosus.inermis_Punta Gorda"	"Punta Gorda"	"Ageneiosus.inermis"	"Auchenipteridae"	"Lotic"	NA	NA	0.569105101544305	0.000281170808361304	-0.12427960958206	0.00604878813489457	358	8	-58.417368	-33.915836	2	1
"Ageneiosus.militaris_Belen"	"Belen"	"Ageneiosus.militaris"	"Auchenipteridae"	"Lotic"	NA	NA	0.831034350735654	0.0392512034775692	0.0389199821813802	0.125714919007489	249.875	4421.55357142857	-57.794189	-30.769745	8	1
"Ageneiosus.militaris_Bella Unión"	"Bella Unión"	"Ageneiosus.militaris"	"Auchenipteridae"	"Lotic"	NA	NA	0.718909482019148	0.0146906891729968	0.41169105788213	0.0106012235997125	251.2	1929.7	-57.612551	-30.247292	5	1
"Ageneiosus.militaris_Frente a Isla del Zapallo"	"Frente a Isla del Zapallo"	"Ageneiosus.militaris"	"Auchenipteridae"	"Lotic"	NA	NA	0.864396525418976	0.0161736985579287	0.265435460721476	0.0352742468708022	262.5	2741.66666666667	-57.870844	-30.508209	4	1
"Ageneiosus.militaris_Las Cañas"	"Las Cañas"	"Ageneiosus.militaris"	"Auchenipteridae"	"Lotic"	NA	NA	0.734328634977183	0.115205042576041	-0.162736146073686	0.216440819058154	325	1475	-58.359482	-33.194559	5	1
"Ageneiosus.militaris_Punta Gorda"	"Punta Gorda"	"Ageneiosus.militaris"	"Auchenipteridae"	"Lotic"	NA	NA	0.717320496459204	0.0712121638345815	0.00481575235212556	0.147108082925931	245.5	2520.5	-58.417368	-33.915836	2	1
"Agosia.chrysogaster_East Fork"	"East Fork"	"Agosia.chrysogaster"	"Leuciscidae"	"Lotic"	NA	TRUE	0.0761916811514267	0.00399722474204486	0.272351773656406	0.0267711260459575	37.5	102.571428571429	-108.1252318	33.30032929	8	1
"Agosia.chrysogaster_Forks Campground"	"Forks Campground"	"Agosia.chrysogaster"	"Leuciscidae"	"Lotic"	NA	TRUE	-0.419729492818843	0.110329959543348	0.051617614407611	0.0640462647250288	54.5	239.02380952381	-108.1985056	33.18065022	22	1
