"","fish_species","sp_site_var_C_mean","sp_site_var_N_mean","sp_site_var_C_sd","sp_site_var_N_sd"
"1","Abramis brama",0.0227440591471211,0.0194253779572503,0.0240697247637828,0.0238097717098254
"2","Acestridium discus",0.00768135904499539,0.0286160249739854,NA,NA
"3","Acestrorhynchus falcatus",7.83424668398587e-05,0.00113679224595413,NA,NA
"4","Acestrorhynchus lacustris",0.00875082994090394,0.0248159124835642,0.00237572368485461,0.0134364462932285
"5","Acestrorhynchus pantaneiro",0.00211372826678356,0.00461482577850235,0.00297536273680098,0.00535396519727533
"6","Achirus lineatus",4.05350669929376e-05,0.00531871531386001,NA,NA
"7","Acrossocheilus beijiangensis",0.0173340644840824,0.0119804518827655,NA,NA
"8","Ageneiosus inermis",0.00525432389380067,0.00659835493036103,0.00705826917082778,0.0092964783382231
"9","Ageneiosus militaris",0.010845748411933,0.00962257307073532,0.0116618331427752,0.00853146745549216
"10","Agosia chrysogaster",0.0155503178552791,0.0212037944207792,0.0106622490675157,0.0271126261091414
"11","Alburnoides bipunctatus",0.018459221283946,0.013847227728429,0.0167427707035701,0.0181786832579571
"12","Alburnus alburnus",0.0280608665807604,0.0219871767950633,0.0382395118932787,0.0217978733329006
"13","Alburnus escherichii",0.042211923020611,0.045974276027793,0.0443790620948365,0.036280272019803
"14","Alburnus nasreddini",0.0125441983924706,0.0132592994694524,NA,NA
"15","Alestopetersius brichardi",0.00143494897959184,0.00267697798929208,NA,NA
"16","Alestopetersius caudalis",0.00267127623991011,0.0259723931551102,0.00148787555924869,0.0262774449051337
"17","Alestopetersius compressus",0.0007614380739554,0.00899528093994256,0.000691084983092743,0.00371780583908616
"18","Alosa aestivalis",0.00811461466220907,0.0117137145246069,NA,NA
"19","Alosa pseudoharengus",0.00571542246984403,0.00778747984130855,0.00652117666803404,0.00970368928723284
"20","Amatolacypris trevelyani",0.138937114197531,0.0454975895316801,NA,NA
"21","Ambassis agassizii",0.0325848423727835,0.0511501674787687,0.0379783261542092,0.0410089883268326
"22","Ambassis agrammus",0.00401018709383947,0.00310979808389757,NA,NA
"23","Ambassis macleayi",0.0144292497756903,0.0126298306619411,0.0226201214764867,0.0243588657981326
"24","Ambloplites rupestris",0.0307541455005985,0.0474558846443139,0.0330520894401826,0.0463158090119275
"25","Amblyceps caecutiens",0.0135332097834484,0.0030935122457394,0.00280627600348462,0.0029200911530598
"26","Ameiurus melas",0.0375979645686521,0.0401890316179364,0.0679322436852698,0.0609270651169946
"27","Ameiurus natalis",0.0287655504063046,0.0315919503980003,0.0257300134861121,0.0288206330162964
"28","Ameiurus nebulosus",0.00791770808062309,0.08604592356089,0.00809448880282873,0.172987955563516
"29","Ammocrypta pellucida",0.0249200400531713,0.040524418424563,0.0274822443027125,0.0122988096398695
"30","Amniataba percoides",0.0172681331108524,0.0227297852709753,0.0197572889550066,0.0255399170731551
"31","Amphilius natalensis",0.000664550952326988,0.000149764057018324,NA,NA
"32","Amphilius uranoscopus",0.0283664708447828,0.0347040549826144,0.0293675955852731,0.0486956390435506
"33","Anablepsoides hartii",0.0362288074970103,0.0484108538208965,0.0242299099841973,0.0236310506775296
"34","Anablepsoides lungi",0.0301524966689365,0.00525304996661188,0.0397964555736925,0.0032559469851613
"35","Anaecypris hispanica",0.021972679909991,0.0295867713293949,0.0224524501588245,0.0195342335995418
"36","Anatolichthys transgrediens",0.0619581921659953,0.00949570398573383,NA,NA
"37","Anchoa mitchilli",0.0118909669194581,0.0224625490797459,0.0112133566817478,0.0267027004411636
"38","Anchoviella vaillanti",0.0143154808557214,0.0116682199118988,0.012995989699358,0.0100518484570561
"39","Ancistrus leucostictus",0.0361977924240627,0.042164921416117,0.0311899150144134,0.0274290497524953
"40","Ancistrus maracasae",0.0950349938259429,0.0453492404987244,NA,NA
"41","Andinoacara pulcher",0.0144629928452664,0.0384155414557941,0.0114658886797909,0.0613317581579726
"42","Anguilla anguilla",0.0294083762793388,0.021930676844127,0.0289109462789991,0.0170600082907736
"43","Anguilla australis",0.0547474066005242,0.0579222098301446,0.0948709078117347,0.0541604315216986
"44","Anguilla dieffenbachii",0.0545556223486506,0.0564716708749047,0.0867144105694527,0.0748415007368862
"45","Anguilla reinhardtii",0.077133907433211,0.0263529381330121,0.109385452336813,0.0370611594810536
"46","Anguilla rostrata",0.0214684079506052,0.0169674740952032,0.00333259466387139,0.0105598267779857
"47","Anodontiglanis dahli",0.0260533679934616,0.0119939401936763,0.0326833133335883,0.0140417893365352
"48","Apareiodon affinis",0.0308405097276925,0.00689134642522775,0.0282339515688177,0.00395980736961193
"49","Apareiodon hasemani",0.0123456725554901,0.0117391844560142,0.0180651333247734,0.0218645512803254
"50","Apareiodon ibitiensis",0.00315705302008744,0.00947430832619684,0.00255278652285299,0.0119245000435193
"51","Apeltes quadracus",0.0120397215183422,0.0261167156194892,NA,NA
"52","Aphyocharax rathbuni",0.00105497176967892,0.00558043996808152,0.00033613795380701,0.00785071726163521
"53","Aphyocypris normalis",0.013531251804888,0.00463218062241886,0.0163751597127317,0.00247708949032566
"54","Aphyosemion australe",0.0126443468757693,0.0234542129483484,0.0065710949125672,0.0223013547982102
"55","Apistogramma agassizii",0.257325141776938,0.000800000000000009,NA,NA
"56","Aplochiton taeniatus",0.0373732044793283,0.114614634213983,0.0512163616484882,0.0689537148401627
"57","Aplochiton zebra",0.0051364952383433,0.0158347820955483,NA,NA
"58","Aplodinotus grunniens",0.00826199860935865,0.00634982720384555,0.00617822469451538,0.00518609169604332
"59","Archosargus probatocephalus",0.0423832944017185,0.0752488128851931,NA,NA
"60","Ariopsis assimilis",0.000411539393336063,0.000132544981769994,NA,NA
"61","Ariopsis felis",0.00671040337170236,0.00290068668708367,NA,NA
"62","Arrhamphus krefftii",0.0120381286132683,0.00699837943837609,0.0137858540166201,0.0111051091275639
"63","Astatheros macracanthus",4.71297954566888e-05,0,NA,NA
